message,is_toxic
"../../extensions/browser/extension_prefs.cc:348:3: error: no matching function for call to 'MakeCheckOpValueString'
  DCHECK_EQ(observer_list_.begin(), observer_list_.end());
  ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
../../base/logging.h:939:31: note: expanded from macro 'DCHECK_EQ'
#define DCHECK_EQ(val1, val2) DCHECK_OP(EQ, ==, val1, val2)
                              ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~
../../base/logging.h:911:29: note: expanded from macro 'DCHECK_OP'
  EAT_STREAM_PARAMETERS << (::logging::MakeCheckOpValueString(      \
etc
etc
etc (C++ template nonsense)",0
"oh, yeah, you have -UNDEBUG in your makefiles. ignore me.",0
"$VALUES is the variable used by the values() implementation. It's what you get if you use reflection on an enum.  It's included in the dump as just another property, so I think it's fine to use it.",0
"This may be a dumb question, but it isn't immediately obvious why we are re-instantiating the kvs backend here, for the memcache driver. At first blush, it looks like a copy & paste error form the previous method...but I'm sure you'll enlighten me as to why it's not...:-)",0
get rid of this code and have callers of this call new with DISABLED_AUTH_FAILURE as second param.,0
"Basically:
 
 if self.microversion and 'X-OpenStack-Nova-API-Version' in headers and headers['X-OpenStack-Nova-API-Version'] != self.microversion:
  self.fail('bad test setup i hate you so much')
 
 And:
 
 if not self.microversion and 'X-OpenStack-Nova-API-Version' in headers:
  self.fail('oh you dirty bastard')",1
s/InsepctorBaseTest/InspectorBaseTest/,0
"my mistake here, it should be set as side-efffect of server_rebuild.",0
"ditto as the EC CL:
 Signed-off-by: Daisuke Nojiri <dnojiri@chromium.org>",0
"it seems you're still using self.nested_templ_with_server
 
 rather it should be 
 
 files={'the.yaml': self.nested_templ}",0
"real nit but can we write this without the \
 id = greenthread.spawn_after ...
 self._events_delayed[event.uuid] = id
 
 (sorry for being pathetic)",0
"Was probably tired when I wrote that stupid line. Thanks for the comment.
 
 Done",0
"indentation issue.
 Remove these blank spaces.",0
Remove daterangepicker,0
"odd that there isn't any mention of Android here. does Chrome not usually build with _FORTIFY_SOURCE?

here i suspect you either want to mention __BIONIC__ or _FORTIFY_SOURCE. there's nothing brillo about this.",0
rpmbuild should be executed under unprivileged user. so do not perform operations required root privileges during build stage,0
mock_clients.return_value.environment...,0
"I think this solution is braindead also, like the previous one. Can we try to ass the null.? Anyway, +2 because safe.",1
Damn!,1
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
 
 Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",1
not sure which is going to land first but will include once Honey lands,0
kill it and find out? or did you want to do that in a later patch instead?,0
loadDraft() will invoke drawTopPanel so I remove invalidateOptionsMenu belowed.,0
"damnit, I hate it when I forget to save the file before I commit ;-)

yes they were notes as I was coding the C file

Done.",1
Damn. I thought I'd removed those. Sorry.,1
Need to use six.text_type here and below,0
"Ah yes, I remember this damm mess now. Unfortunately some of the task code needs a conductor. Seems silly to do that over rpc just for dependency reasons.",1
"Can encoder work without VPU? If not, we should remove these ifdef CONFIG_MEDIATEK_VPU.",0
"profileId=profileId, extra_config=extra_config",0
"Is this still used anywhere?
 
 (later)
 
 Looks like still used in nova.tests.unit.test_service, so I guess we can't remove it. Damn.",1
kill and restart,0
u.to_wrapped_dict is more appropriate here,0
"* If we had already decided on the features for a release, extra risky code is less chance. 
 * If there is riskiness as part of features, then it's understandable and should be given more time to stabilise (rather than not landing that feature)
 * The only thing left out is a critical bugs that should be allowed to get in based on it's merit.",0
Remove content_type,0
"you can. some people prefer reinterpret_cast because it shouts ""danger! crappy type-unsafe C API here!"". others prefer static_cast because it's the weakest cast that will still work. i'll +2 either (but tend to use reinterpret_cast personally; i've never seen anyone make the mistakes that static_cast would prevent in this specific circumstance).",1
maybe worth having a directory for drivers? would be intersting to know what others think.,0
Nit: put this after NetBendingmarking to preserve lexicographic order.,0
why is this a FIXME? Is there something left to do here?,0
all of them should satisfy custom constraint cinder.vtype,0
remove the tabs please - spaces only - the change makes this review a bitch to read and doesn't match the existing formatting.,1
"/*eula_accepted*/
or even
/*eula_accepted_callback_*/",0
"Damn, forgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with ToT now I guess.",1
"nononono, all that stuff should go away",0
Damn! Thought I caught all those! Thanks.,1
Why not store the socket in the state_dir rather than creating a new option?,0
"Done.  That's one's embarrassing, though what if there was random memory corruption in the value while we were null-checking nested_connect_job_?  :)",0
"the eclass already calls default for you, so you shouldn't need to do it yourself",0
"I think l7rules should be a subresource of l7policies, much like members are a subresource of pools.",0
base_dir is useless,0
"rather than creating this useless structure, just pass the size in the kmem_cache_create in the _probe function ?

but yeh that's not important, a dirty patch should be dirty....",1
"Hmm still get ""AttributeError: __exit__"" for 
""with tf.extractfile as f:"".",0
Crap. Sorry about that. Done.,1
Damn grammar :-P,1
"Shouldn't this be:
 
 if ***not*** self._l2_policy_is_owned ....
  delete the policy
 otherwise do nothing.",0
Why do you remove a check for propertyName? Why do you display only string properyValue? What about number and boolean values? I think it should be !_.isPlainObject && !_.isArray check for a property value,0
How the heck did that get in there? Done....,1
"might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a ""go do this"" message when the window is 1s sucks)",1
"Nits: can we use space instand of tab in 21-25, 27",0
"Showing some hits already:
 
 http://goo.gl/2H9NWU
 
 I haven't dug into these yet to find out where they are coming from.",0
looks like your git has the wrong name configured in it,0
I believe this should be inserted at the end or it will break setup-base.sh.,0
This'll crap out if the search fails,1
"Also, after the first period the word "".Request."" don't add anything to the sentence. Could being removed?",0
"It doesn't relate to your patch, but please, remove this dots. It sucks and unreadable! Also, If this module will be moved in future, everything will break.
 I prefer to use this simple code:
 
  import rally
  lookup_dirs = [templates_dir, os.path.dirname(rally)]",1
remove this trailing white spaces,0
nit: drop WTF::,0
error -> die.  then you can drop the exit below.,0
"Agree with Alexander, here is where separate validators suck - you may easily not notice the same work is done twice.",1
Why don't you ScanKeysFor() again after the Rehash?,0
Let's put this all behind CONFIG_CHARGER_MONITOR_BP.,0
remove this as we shouldn't reach this if not supported and you already have DCHECKs in GetBufferConfig.,0
"Does this mean that if the header is corrupt, we're screwed?",1
"nit: Looks ugly. I like this style, like a = b = f(), but not in this particular case. Decompose it please.",1
"same as above, these docs are useless",0
those should probably be @mock.patch.object instead.,0
"These function names - specifically the ""stub1,stub2"" are ugly.",1
"rather than have a note, there should be a bullet (which should be first) that says to set auth_plugin.",0
You should kill all pids at once rather than in for loop,0
Not a dumb question at all. I copy/pasted this from one of my daily driver configs. Using $HOME is much more consistent,0
"The optimizer should usually be able to make this not suck, but thread.name.assign() is more direct.",1
"Mostly nit: But would be good to have a type check here, otherwise someone can put IRONIC_RAMDISK_TYPE=""blahhh"" and it's going to work. e.g
 
  elif [ ""$IRONIC_RAMDISK_TYPE"" == ""dib"" ]; then
  build_ipa_dib ...
  else
  die ""Ramdisk type $IRONIC_RAMDISK_TYPE not supported""",0
"neutron-server now supports RPC listener.
 I think start_rpc_listeners() should be used.",0
"This sleep make test running 10 seconds delay, you should also mock in in the test case.
 
 virt/libvirt/test_driver.py#test_unrescue",0
useless :),0
accidentally put ** in __init__,0
should probably put body += n here also instead of below,0
Please drop the empty line,0
gross...,0
"hmmmm...that is a good reason to keep mountpoint around. Which kind of sucks. Also, mountpoint is optional from Nova's standpoint, so we probably shouldn't just raise and fail, unless it's a multi-attach to the same instance (the knucklehead case), which means more checks for that case.
 I vote we just dis-allow that...",1
"Remove extra newline after the block, or use # in its place.",0
"Our usual style is more something like :
 
 #define G_PINMUX_BASE 0x40060000
 
 #define G_PINMUX_DIOA0_SEL REG32(G_PINMUX_BASE + 0x28)
 
 in order to support variants with peripherals moved around",0
misformed or malformed... or maybe just 'incorrect'?,0
this seems like an upstream bug. Is it reported? Sane defaults == win,0
"nova boot --security-groups ... --nic net_id=xxx ...
 
 where xxx has port_security_enabled=False, it will launch an instance with no warning, return an instance object with specified security groups, but the instance ports will not have security groups. This behavior doesn't look correct for me.",0
"Wtf why did you change "" to ' when we are changing everywhere ' to """,1
"I think it would be nice if we have more than one choice there, like
 
 if [[ ""$users_agree"" == ""y"" ]] || [[ ""$users_agree"" == ""Y"" ]] || [[ ""$users_agree"" == ""yes"" ]];
 
 I personally hate this situations when I press 'y' and application tell me 'wrong choice, man, bye-bye. In next time you should write full ""yes"", you moron'.",1
same,0
This actually changes nothing. Is it needed?,0
I will remove MAX_RETRIES.,0
"The # noqa comment already silences the flake8 warning about unused imports, it seems we could simply get rid of the asserts and leave it at that.",0
Let's remove these accessors.,0
I'm not sure it makes sense to pause a shut-off instance...,0
"Ack.
Will keep that in mind.

I'd kicked this train into gear and left to fight other fires.",0
"nit: Both this class and the mock crypto stream both assume the same empty CHLO message being sent. Should we perhaps define some common method for this? (quic::CryptoHandshakeMessage GetDummyCHLO()?)
 
 Also should we say something like ""Dummy"" in the method name to make it obvious that this is not a real CHLO?",0
"this if(term_is_active()) is now useless, please remove",0
"I thought it would make sense to guard a useless operation... but I'm fine with dropping it, too.",0
actually C enums don't really check IIRC and never have. You can assign a bogus value. They're not that useful. I'm happy to get rid of this crap however.,1
This should be called devtest_overcloud_images.sh.,0
"Please leave this message out:  build_image is already
too noisy.",0
This means openstack and fake can also match,0
"TestRunner.cssModel
TestRunner.debuggerModel",0
"() are useless.
 Just use if $ironic_enabled {",0
This particular one is a big change. I think I'll do that in a separate patch. I'll file a bug to remind myself.,0
would not work according in job package will be stored on slave host,0
Redundant. bt_core?,0
(banging head on table) Thanks!,0
Stupid oversight on my part. I will add that back.,0
"OK, just seems ugly to me is all. If you use mock you don't have to worry about mox or stubs. I'll already grant that some think that using mock is ugly too...",1
this needs a linewrap at removed,0
"in ha mode
 multirole is redundant",0
"Done.. 
 Super lame mistake from me",0
ml2_vxlan_endpoints should be dropped after ml2_gre_endpoints.,0
"No, indent(1) is dumb. Fixed.",1
naming convention is unnatural to me.  I'd call this schedule_service_writeback and __service_modified as service_writeback.  and update_pending as dirty.  But who am I?,0
OK.  you should file a bug to track as we're actively killing old consumers of 180609 now.,0
Probably a stupid question: Is it safe to push the value of the conf variable unchecked to libvirt?,0
"Correct, they should be removed",0
"You won't need the comment if the test name is more informative:
 
  def test_all_whitespace_flavor_names_rejected(self):",0
would it make more sense to make this 'team_domain=dummy' as well so users don't confuse it as being a valid string?,0
Comment on existing code - just throw an exception here,0
"That Author line is wrong. It seems you did not setup git correct.
 
 to update this change, run:
 git commit --amend --author=""Miranda Zhang <miranda.zhang.q@gmail.com>""
 
 Please see the git instructions on how to setup git properly.",0
"Bad formatting, * or - will give you bullets",0
"Same, should be network_id = self.resource_id?",0
!!!!! This is an ugly reference back to the agent loop. Can we get rid of it? It's the only one...,1
Maybe kill this? This script is the whole point of the job.,0
I can't see that you removed scheduled_operation_state.py,0
Are we not going to assume error 401 or anything (that I got bitched about with the amphora API proposal still in the review pipeline)?,1
"darn. you right. :)
 
 peer programming works! or sileht programming works.",1
it's ugly to return a vector of pointers that the caller has to delete manually - better return vector<std::unique_ptr<SwPaM>>,0
"Ah.  I was more describing the outcome of not having the check, which is that the browser process gets killed when we try to kill PID 0.  Maybe we can combine the two versions?

""Some tasks may not have accurate process IDs yet. If it is still 0, do not try to kill it, since that could kill the browser process.""",0
"This backslash is unnecessary, and should be eliminated.",0
"nit: C++ static constructors are evil due to their random order or initialization / deinitialization anyway, so please please never use them. The fact that this is accessed from onexit() only makes it clearer.

Consider using an emugl::LazyInstance<> here, see comment below.",0
"I changed the sh -c ""..."" style back to the normal style. But it seems that an empty double-quoted string still needs escaping.",0
"Nope. If 'ip_ranges'=[] nothing will be iterated, netaddr.IPAddress() will not be executed. These check anyway.",0
UINT8 *p_vendor_data = ...,0
"These configs should appear in etc/ironic/ironic.conf.sample
 
 To update that file, do something like
  ./tools/config/generate_sample.sh -b . -p ironic -o ./etc/ironic",0
Looks like we'll need to enforce (by unit test?) that a given builder class name does not appear in more than one *_builder.py module. Otherwise we can get really confused about which one is being used.,0
"Ok, fair enough.
 
 Just seems like it could be used outside openstack (and if later we have to rename it so that it's more obvious it can be used outside, that sorta sucks to have to go through that process).",1
I got rid of all the LDAP specific nonsense,1
"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.",1
"I disagree. In this instance it is an instance that we have partially created, and that the user has no knowledge of its existence. We should not leave half created turds lying around. However, you have drawn attention to that fact that we are eating an exception, which we should not be doing.",1
has_exception = exc,0
"scope_logger.cc doesn't exist in libshill-net users, like apmanager.
 
 Do we move it under common/ and make apmanager depend on a separate shared library, just for that tiny shill-specific piece of code?
 
 Do we move it under net/ where it doesn't really belong?
 
 Do we tell library callers to implement the ScopeLogger class just so that libshill-net links? That's kind of an ugly interface for a library; at least for C-based shared libraries it is generally nicer to ask users to register a callback than for the .so file to try to link against some of the main executable's symbols.",1
The parentheses () here are causing the URL to include them incorrectly and should be removed.,0
This two lines does nothing. Mock's object's return value is Mock object by default,0
damn.. I missed that one. Thanks,1
"Oh, yeah, what a crap.  Maybe use this cleanup commit to finally get rid of that odd --language handling for good.",1
Here should be BytesIO instead of StringIO.,0
Do you know the difference between dump and dumps?,0
"think that's what the condition above is trying to do (and fails miserably).

could be wrong thou

gnumeric about this
https://git.gnome.org/browse/gnumeric/tree/plugins/fn-stat/functions.c
>	p = pf (varx / vary, nx - 1, ny - 1, FALSE, FALSE);
>	if (p > 0.5) {
>		/*
>		 * We need the other tail and 1-p might not be very accurate.
>		 */
>		p = pf (varx / vary, nx - 1, ny - 1, TRUE, FALSE);
>	}",0
Hmm... I guess the IntelliJ autoformatter must have lined up the javadoc comments automatically.,0
"bool drop_privileges()?

every goto you write makes the baby agampe cry...",0
RETRY_COUNT should be lowercase ... because it's not a constant,0
"once you move to only using `apache2`, you should be able to extract that at runtime via `apache2 -S`.",0
"instead of the mock, why not just call manager.NeutronManager.set_controller_for_resource and pass it your fake controller?",0
"For Centos $ovs_server_package == false
 isn't it?",0
"Why this change? Looks like you are no longer using these anyway, maybe you should just remove them?",0
I suggest getting rid of all re-entrancy to public methods. Ex. create LoadKeyInternal with no locking and keep locking very simple as the first statement in all public methods.,0
"Yes the test is stupid it's just to test unicode and ""and"" :)",0
".hPrivData = &gsSysConfig,",0
"Yes, but I guess this is rabbit issue only, due to the fact that the reply queue have been historically created with auto_delete=True.
 
 Another rabbitmq reported issue in the past was that a HA rabbitmq cluster that failover can in certain circumstance report that the queue doesn't exists just after the failover when It exists in reality. That another reason of why we do this crap.",1
Should we catch ValueError and throw an appropriate nova exception ?,0
"I don't agree here, property in python are awful, especially when you want to test such methods.",1
I will create a barbican subdirectory under '/etc/security',0
"also, need to invalidate it just like the other validate_*s.",0
"We only need 1 GpuClient per child process, not per ""identity"". How can we wire the child id, pretty please?
 
 It's important to associate GPU memory with the right process. Again, it's not about the PID (as was done in previous patches) but the child id (BrowserChildProcessHostImpl::GetData().id).",0
$region needs to be set somewhere,0
"The CBManagerState change in the new SDK is so sucky :-( We did https://chromium-review.googlesource.com/c/chromium/src/+/587510/5/device/bluetooth/bluetooth_adapter_mac.mm#43 on Mac (and see discussion on bug linked from that CL). But if this is the only place, this is fine too.",1
IMO new line with a backslash should be removed.,0
bouh bouh shame,1
"Maybe a stupid query, but wont neutron-db-manage check-migrations would have an issue with this?
 And would the CLI work with the HEADs file now Blank?",0
"Damn, someday I'll learn how to spell, lol.",1
"if one fat-fingers serializer_path, we get a cryptic exception message. Suggest we catch it here.",0
"I believe, most users should be satisfied with default DN choice. This way we allow user to just flip the switch and try it on without selecting another DN. We have the same setup for dumb member.",0
"edit: Okay, pylint just told me that I'm an idiot and that you meant the error() function in argparse instead.",0
"It specifies the target that this resource gets bound to in GL. A standard kernel API would be nice but apparently not nice enough to have been done upstream. Seems to be a result of sticking the pipe API command stream before and after the kernel, using it as a dumb stream.",0
shit :(,1
"yes.  let me add the flag first.  After this cl, I will update ios/api.py, and remove use_goma_canary.",0
to be execute -> to be executed,0
put a newline below the EAPI,0
"OK, I understand now. It's to have a complete frame for the exception dispatch. Ugly, needs comment.",0
Why not just call this AbsoluteResource to avoid the need for the odd dummy class below?,0
you can use get_template function here,0
"Perhaps we should rename it init.*.sh and cover init.goldfish.sh that way also.

Not bringing in lots of *.sh files... this one is to bring up the IMG graphics drivers and initialize the subsystem. I could rewrite it to be a upstart script pretty easily.

Would you feel better about having the rule init.*.rc or init.*.sh ?",0
Kill this too,0
"Actually fetching the project is redundant with set_project code, this bit should disappear.",0
"this is ugly, you should probably split it on two lines so it lines up. (or remove channel so it is shorter) :)
 
  'nfs=nova.virt.libvirt.volume_nfs.NfsVolumeDriver',
  'fibrechan=nova.virt.libvirt.volume.'
  'LibvirtFibreChannelVolumeDriver',",1
"Could we just use consistent units please?  It's kind of ridiculous to have different units for APIs from the same driver...

Also, proper kernel comment style is:

/*
 * blah blah blah
 */",0
You are an evil :O!,1
Damn abbreviations :-P,1
"Are you sure you want white here, and not transparent?",0
This is purely me being lazy :-) I'm not attached to this change. I only did it for line 300 of globname.cxx.,0
